_time;vcc;vpanel;tmp;hum;s0;s1;s2;s3;s4;s5;s6;s7;s8;s9;value;sensor_name
2024-06-03 15:42:00+00:00;3,495;3,371;29,89;44,196;459200;63212900;59389200;58280100;4607400;4542200;4523400;469400;499600;526600;air;Tree31
2024-06-03 15:44:00+00:00;3,494;3,369;29,69;44,74;459600;62804000;59268300;58357900;4619100;4572700;4534700;470300;501400;526600;air;Tree31
2024-06-03 15:45:00+00:00;3,495;3,371;29,58;45,201;459600;62400300;58710800;57550800;4557400;4497300;4438900;465500;493400;520900;air;Tree31
2024-06-03 15:46:00+00:00;3,494;3,368;29,49;45,641;457400;62222600;58750300;58009200;4588000;4549800;4512200;464600;498500;520100;air;Tree31
2024-06-03 15:47:00+00:00;3,492;3,367;29,38;46,046;456800;61651900;58710800;57174200;4557400;4542200;4478900;464900;497000;524500;air;Tree31
2024-06-03 15:50:00+00:00;3,493;3,368;29,35;45,31;460200;62400300;58592700;57702800;4611300;4515900;4489900;468100;497400;522500;air;Tree31
2024-06-03 15:51:00+00:00;3,494;3,369;29,35;45,657;456200;62623900;58163700;56950600;4542200;4478900;4460600;464600;494900;521300;air;Tree31
2024-06-03 15:53:00+00:00;3,495;3,37;29,26;45,625;456200;61914000;58009200;57062200;4538500;4482600;4453300;463000;493400;519000;air;Tree31
2024-06-03 15:54:00+00:00;3,496;3,37;29,17;45,757;454700;61914000;58750300;57025000;4553600;4504800;4438900;464600;495200;520100;air;Tree31
2024-06-03 15:55:00+00:00;3,495;3,37;29,19;45,974;454100;61348900;58047800;56876500;4527200;4508500;4486300;464900;494500;519700;air;Tree31
2024-06-03 15:56:00+00:00;3,494;3,374;29,21;46,064;455900;62222600;58319000;56728800;4530900;4497300;4446100;464200;494900;520500;air;Tree31
2024-06-03 15:58:00+00:00;3,495;3,374;29,25;45,601;458600;61739000;58829400;57136800;4549800;4471600;4460600;464600;493800;520100;air;Tree31
2024-06-03 15:59:00+00:00;3,496;3,375;29,29;45,399;457400;61957900;58202400;57249100;4542200;4482600;4471600;463600;498100;520100;air;Tree31
2024-06-03 16:01:00+00:00;3,492;3,373;29,06;46,019;456200;61739000;58592700;57062200;4538500;4519700;4464300;465800;497400;522100;air;Tree31
2024-06-03 16:03:00+00:00;3,498;3,373;28,98;46,334;459200;62400300;58671400;57324200;4580300;4523400;4453300;466800;496700;521700;air;Tree31
2024-06-03 16:04:00+00:00;3,494;3,377;28,88;46,364;457400;61957900;59389200;57702800;4568800;4527200;4504800;469700;500300;524100;air;Tree31
2024-06-03 16:05:00+00:00;3,495;3,373;28,81;46,311;459600;62178300;59429600;58436000;4611300;4557400;4523400;471000;501400;526200;air;Tree31
2024-06-03 16:06:00+00:00;3,495;3,375;28,76;46,641;461400;61957900;59510500;58009200;4607400;4568800;4546000;472600;503300;529000;air;Tree31
2024-06-03 16:08:00+00:00;3,494;3,373;28,7;46,851;461700;62045900;59877500;58163700;4623000;4568800;4553600;473600;504000;529800;air;Tree31
2024-06-03 16:09:00+00:00;3,494;3,375;28,65;45,375;464900;63030500;60499400;58553400;4658500;4572700;4549800;475900;507800;532300;air;Tree31
2024-06-03 16:10:00+00:00;3,493;3,375;28,55;45,638;466800;63859600;61177100;59673100;4739300;4650500;4650500;481300;511600;536900;air;Tree31
2024-06-03 16:11:00+00:00;3,495;3,374;28,46;45,875;472300;64855000;61392000;60166100;4735200;4678400;4710700;483000;513900;540300;air;Tree31
2024-06-03 16:13:00+00:00;3,498;3,369;28,4;45,586;471900;64377200;61521700;60415700;4747600;4694500;4654500;484700;515000;542500;air;Tree31
2024-06-03 16:14:00+00:00;3,494;3,373;28,36;45,923;471000;64615200;61435200;60499400;4760000;4722900;4686400;484300;518200;542000;air;Tree31
2024-06-03 16:15:00+00:00;3,495;3,375;28,29;46,157;475200;64519800;62222600;61177100;4806100;4747600;4698500;484700;518600;542000;air;Tree31
2024-06-03 16:16:00+00:00;3,497;3,371;28,26;47,442;471900;65096500;61219900;59673100;4714800;4666400;4626900;483700;513500;538600;air;Tree31
2024-06-03 16:18:00+00:00;3,496;3,374;28,17;48,037;467400;62849100;60499400;59228100;4674400;4638700;4576500;478200;508500;532300;air;Tree31
2024-06-03 16:19:00+00:00;3,492;3,372;28,04;49,426;461400;62090000;59268300;58396900;4599600;4546000;4530900;474900;505100;530700;air;Tree31
2024-06-03 16:20:00+00:00;3,493;3,375;27,86;49,3;458300;61262900;59068000;57512900;4542200;4523400;4512200;470600;502200;526600;air;Tree31
2024-06-03 16:22:00+00:00;3,495;3,376;27,66;50,334;458000;61219900;59148000;57550800;4519700;4497300;4435300;471900;499600;526600;air;Tree31
2024-06-03 16:23:00+00:00;3,497;3,376;27,47;50,318;457400;61048900;59028100;57932300;4508500;4489900;4460600;469400;504800;529800;air;Tree31
2024-06-03 16:24:00+00:00;3,493;3,374;27,36;50,362;458900;60921200;58829400;57893900;4482600;4512200;4471600;472300;501100;531500;air;Tree31
2024-06-03 16:27:00+00:00;3,495;3,375;27,46;50,235;459200;61348900;59551100;57932300;4534700;4534700;4475200;472300;505500;527000;air;Tree31
2024-06-03 16:28:00+00:00;3,495;3,377;27,58;49,601;460200;61695400;59510500;58436000;4568800;4576500;4527200;474600;504000;530200;air;Tree31
2024-06-03 16:29:00+00:00;3,497;3,364;27,62;49,054;463000;61914000;59959700;58514200;4615200;4580300;4549800;477600;507800;532300;air;Tree31
2024-06-03 16:30:00+00:00;3,5;2,683;27,58;49,625;462700;63030500;60583300;59470000;4670400;4642600;4595700;476900;507400;533600;air;Tree31
2024-06-03 16:32:00+00:00;3,497;3,379;27,5;49,204;470000;62579100;60499400;59429600;4650500;4630800;4588000;477900;509300;536100;air;Tree31
2024-06-03 16:33:00+00:00;3,497;3,295;27,4;50,421;463600;62090000;60290700;58869000;4565000;4489900;4523400;474600;505900;531900;air;Tree31
2024-06-03 16:34:00+00:00;3,499;2,668;27,21;50,747;463600;61521700;60042100;59028100;4650500;4561200;4512200;476200;507000;533100;air;Tree31
2024-06-03 16:35:00+00:00;3,5;2,668;27,01;51,147;463600;61957900;60667400;59308500;4591900;4515900;4561200;476900;507000;534000;air;Tree31
2024-06-03 16:37:00+00:00;3,5;2,668;26,88;52,006;461400;61565000;60249100;58908700;4557400;4475200;4460600;474600;506300;531900;air;Tree31
2024-06-03 16:38:00+00:00;3,495;3,377;26,76;52,097;462400;61695400;60290700;58671400;4565000;4530900;4504800;475900;509300;531500;air;Tree31
2024-06-03 16:39:00+00:00;3,502;2,669;26,64;52,967;462400;61608400;59713800;58436000;4538500;4497300;4464300;474600;505900;532300;air;Tree31
2024-06-03 16:40:00+00:00;3,499;2,667;26,54;52,818;463000;61219900;59754700;58948500;4565000;4519700;4467900;473300;505500;533100;air;Tree31
2024-06-03 16:42:00+00:00;3,493;3,377;26,49;51,56;463000;62222600;60124700;59148000;4580300;4534700;4501000;478200;509300;534000;air;Tree31
2024-06-03 16:43:00+00:00;3,494;3,376;26,46;52,281;464900;62222600;60457500;59188000;4615200;4588000;4538500;479600;511200;536500;air;Tree31
2024-06-03 16:44:00+00:00;3,496;3,376;26,47;52,062;468700;62400300;60751700;59713800;4626900;4607400;4561200;482300;515800;538200;air;Tree31
2024-06-03 16:46:00+00:00;3,497;3,369;26,48;51,483;469700;63534600;62134100;60415700;4694500;4670400;4619100;487800;517000;540300;air;Tree31
2024-06-03 16:47:00+00:00;3,5;2,665;26,48;51,778;474200;63350400;62090000;60963700;4698500;4666400;4623000;483700;519000;542000;air;Tree31
2024-06-03 16:48:00+00:00;3,494;3,377;26,54;50,909;474900;63859600;62668800;60963700;4694500;4658500;4619100;487100;520100;542000;air;Tree31
2024-06-03 16:49:00+00:00;3,494;3,381;26,6;51,259;471900;63953100;62134100;61177100;4714800;4678400;4658500;486400;519000;547300;air;Tree31
2024-06-03 16:51:00+00:00;3,496;3,382;26,58;51,714;471600;63488400;61870100;60878700;4682400;4666400;4619100;485700;515400;542000;air;Tree31
2024-06-03 16:52:00+00:00;3,495;3,383;26,49;52,35;469400;63304500;61435200;60207600;4658500;4623000;4588000;483000;514700;539000;air;Tree31
2024-06-03 16:53:00+00:00;3,498;3,22;26,39;53,793;463000;62090000;60415700;58908700;4584200;4549800;4515900;477200;509700;536900;air;Tree31
2024-06-03 16:54:00+00:00;3,497;3,221;26,29;53,043;465500;62400300;60836300;59713800;4654500;4580300;4576500;480300;514300;538200;air;Tree31
2024-06-03 16:56:00+00:00;3,499;2,66;26,23;53,749;468100;62001800;61006200;59429600;4634700;4568800;4557400;480900;510400;538200;air;Tree31
2024-06-03 16:57:00+00:00;3,5;2,703;26,15;53,662;465500;61739000;60836300;59268300;4650500;4576500;4572700;480900;512700;538200;air;Tree31
2024-06-03 16:58:00+00:00;3,5;2,702;26,09;54,175;466100;62178300;60878700;59877500;4626900;4591900;4534700;478600;511600;536500;air;Tree31
